Segment,Country,Product,Units,Sales,Datesold
Government,Canada,Carretera,1619,32370,1/1/14
Government,Germany,Carretera,1321,26420,1/1/14
Midmarket,France,Carretera,2178,32670,6/1/14
Midmarket,Germany,Carretera,888,13320,6/1/14
Midmarket,Mexico,Carretera,2470,37050,6/1/14
Government,Germany,Carretera,1513,529550,12/1/14
Midmarket,Germany,Montana,921,13815,3/1/14
Channel Partners,Canada,Montana,2518,30216,6/1/14
Government,France,Montana,1899,37980,6/1/14
Channel Partners,Germany,Montana,1545,18540,6/1/14
Midmarket,Mexico,Montana,2470,37050,6/1/14
Enterprise,Canada,Montana,2666,333187.5,7/1/14
Small Business,Mexico,Montana,958,287400,8/1/14
Government,Germany,Montana,2146,15022,9/1/14
Enterprise,Canada,Montana,345,43125,10/1/13
Midmarket,United States of America,Montana,615,9225,12/1/14
Government,Canada,Paseo,292,5840,2/1/14
Midmarket,Mexico,Paseo,974,14610,2/1/14
Channel Partners,Canada,Paseo,2518,30216,6/1/14
Government,Germany,Paseo,1006,352100,6/1/14
Channel Partners,Germany,Paseo,367,4404,7/1/14
Government,Mexico,Paseo,883,6181,8/1/14
Midmarket,France,Paseo,549,8235,9/1/13
Small Business,Mexico,Paseo,788,236400,9/1/13
Midmarket,Mexico,Paseo,2472,37080,9/1/14
Government,United States of America,Paseo,1143,8001,10/1/14
Government,Canada,Paseo,1725,603750,11/1/13
Channel Partners,United States of America,Paseo,912,10944,11/1/13
Midmarket,Canada,Paseo,2152,32280,12/1/13
Government,Canada,Paseo,1817,36340,12/1/14
Government,Germany,Paseo,1513,529550,12/1/14
Government,Mexico,Velo,1493,10451,1/1/14
Enterprise,France,Velo,1804,225500,2/1/14
Channel Partners,Germany,Velo,2161,25932,3/1/14
Government,Germany,Velo,1006,352100,6/1/14
Channel Partners,Germany,Velo,1545,18540,6/1/14
Enterprise,United States of America,Velo,2821,352625,8/1/14
Enterprise,Canada,Velo,345,43125,10/1/13
Small Business,Canada,VTT,2001,600300,2/1/14
Channel Partners,Germany,VTT,2838,34056,4/1/14
Midmarket,France,VTT,2178,32670,6/1/14
Midmarket,Germany,VTT,888,13320,6/1/14
Government,France,VTT,1527,534450,9/1/13
Small Business,France,VTT,2151,645300,9/1/14
Government,Canada,VTT,1817,36340,12/1/14
Government,France,Amarilla,2750,962500,2/1/14
Channel Partners,United States of America,Amarilla,1953,23436,4/1/14
Enterprise,Germany,Amarilla,4220,527437.5,4/1/14
Government,France,Amarilla,1899,37980,6/1/14
Government,Germany,Amarilla,1686,11802,7/1/14
Channel Partners,United States of America,Amarilla,2141,25692,8/1/14
Government,United States of America,Amarilla,1143,8001,10/1/14
Midmarket,United States of America,Amarilla,615,9225,12/1/14
Government,France,Paseo,3945,27615,1/1/14
Midmarket,France,Paseo,2296,34440,2/1/14
Government,France,Paseo,1030,7210,5/1/14
Government,France,Velo,639,4473,11/1/14
Government,Canada,VTT,1326,9282,3/1/14
Channel Partners,United States of America,Carretera,1858,22296,2/1/14
Government,Mexico,Carretera,1210,423500,3/1/14
Government,United States of America,Carretera,2529,17703,7/1/14
Channel Partners,Canada,Carretera,1445,17340,9/1/14
Enterprise,United States of America,Carretera,330,41250,9/1/13
